Star,Pressure,Temperature,Mass,SiO2,TiO2,Al2O3,Cr2O3,FeO,MgO,CaO,Na2O,SUM
2M19481670+4031304,10000,1036,0.384516,53.60149078,0.601242104,10.80576876,0,24.55785238,0,8.086601188,2.347044798,100
2M19040872+4936522,10000,988,1.965431,58.19568161,1.243785188,13.22078262,0,19.96315483,0,5.084031923,2.292563831,100
2M18590868+4825236,,,,,,,,,,,,
2M19441136+4244348,10000,1024,0.639676,62.1788488,2.735858534,11.3194267,0,13.02071104,0,9.190531017,1.554623912,100
2M19220642+3808347,10000,1020,0.381936,61.528775,2.964524739,10.94488384,0,12.75343144,0,10.37154607,1.436838919,100
2M19342609+4211516,,,,,,,,,,,,
2M19283191+4132511,,,,,,,,,,,,
2M19313914+4103393,,,,,,,,,,,,
2M19312961+4257580,10000,1026,0.567478,62.55750824,2.616727922,11.53297082,0,13.14118148,0,8.524548219,1.627063317,100
2M19491018+4958538,10000,1016,1.763331,57.65859986,1.419132366,12.89919107,0,19.71453696,0,6.223479844,2.085059903,100
2M19342205+4105425,10000,1042,0.437527,49.93873717,0.001730267,9.262464639,0,21.98837776,0.176860296,1.173375359,17.45845451,100
2M19342073+4255440,10000,1014,0.034253,62.41327143,4.265422214,16.28040474,0,6.685728061,0,9.922932656,0.432240898,100
2M19253263+4159249,10000,976,1.537548,55.63621931,1.275243993,13.24017906,0,21.38226214,0,6.308713824,2.157381666,100
2M19052120+4844387,10000,928,1.430262,55.78409733,1.224255546,13.20559041,0,21.32364132,0,6.280704947,2.181710441,100
2M18561431+4431052,,,,,,,,,,,,
2M19284485+4143373,10000,1024,0.528203,62.1788488,2.735858534,11.3194267,0,13.02071104,0,9.190531017,1.554623912,100
2M19353364+4231408,,,,,,,,,,,,
2M19284107+4054587,10000,962,0.038311,70.00902555,1.326995395,21.60421409,0,4.399154405,0,0.00276845,2.657842113,100
2M19284793+4202459,10000,1012,0.136604,61.28761106,2.824191189,10.80524237,0,10.9145613,0,12.96579023,1.202603852,100
2M19405434+5033323,10000,928,0.758747,55.08733858,0.011212689,7.998880596,0,6.974917734,0.172127249,0.221761338,29.53376182,100
2M19505021+4804508,10000,928,1.106167,56.90136489,1.326850711,13.16863393,0,20.272255,0,6.150725133,2.180170336,100
2M19174175+4643342,10000,1038,0.785909,52.03169291,0.488481709,12.07009029,0,26.61236113,0,6.116945213,2.680428742,100
2M19343286+4249298,10000,1028,1.517403,57.2738602,1.363310398,12.893532,0,20.10699591,0,6.265989529,2.096311964,100
2M19364610+3937084,10000,928,0.822718,63.31848983,2.342491743,11.85714721,0,12.9809937,0,7.775029124,1.725848394,100
2M19240775+4902249,10000,1470,51.829821,58.33858838,0.177369333,7.702076578,0,10.52236901,16.38380113,5.993035466,0.882760093,100
2M19063321+3929164,10000,982,0.875398,53.8017135,0.908970015,12.32555377,0,24.33871049,0,6.063717587,2.561334635,100
2M19144528+4109042,10000,1020,0.272955,61.87292251,3.298308152,12.24418304,0,10.57252507,0,10.83935902,1.1727022,100
2M19262685+4206574,10000,1058,0.107703,49.47266795,0.094608814,6.073177663,0,27.09471959,0,9.932361548,7.332464429,100
2M19004979+4523036,10000,970,1.303464,55.55031938,1.173149481,13.09839442,0,21.67991797,0,6.250112161,2.248106583,100
2M19340476+4116386,10000,976,0.001241,69.50427993,1.827664274,21.61424624,0,4.352236347,0,0.78950103,1.912072181,100
2M19492496+4118001,10000,974,0.889455,53.80594499,0.910835826,12.32632096,0,24.33003656,0,6.066724899,2.560136767,100
2M19325217+4243145,10000,964,0.001891,70.01577763,1.371867851,21.61677201,0,4.391463021,0,0.019888183,2.584231306,100
2M19322220+4121198,10000,1018,0.140042,62.10834609,3.145026428,12.74168531,0,9.306669749,0,11.68063728,1.017635146,100
2M19562938+4152003,10000,1078,0.256964,54.84273579,0.490764397,10.05800342,0,23.55608495,0,8.618102685,2.434308761,100
2M19202447+4815040,10000,962,0.994224,44.02180127,0.021045963,12.72924751,0,7.800751871,4.41E-05,4.559850071,30.86725917,100
2M19394766+4626191,10000,1044,1.043405,54.1953819,0.896498655,12.56669518,0,23.71786618,0,6.20692139,2.416636702,100
Sun,10000,1048,1.216538,54.91741696,1.066774343,12.83504985,0,22.61736416,0,6.267097671,2.29629701,100
2M19353074+4139423,,,,,,,,,,,,
2M19542140+4045024,10000,942,0.4038,61.6519866,0.984144786,13.49659707,0,0.000937137,0,23.83569482,0.030639593,100
2M19331737+4252028,10000,950,0.42186,53.89894179,0.001670884,8.860231086,0,9.375677584,0.198039822,0.314029237,27.3514096,100
2M19394922+4408593,10000,1060,0.387628,48.79716554,0.001893436,9.888273061,0,23.91116076,0.208047967,1.519622401,15.67383684,100
2M19415676+5100486,10000,1054,0.200949,53.69810509,0.603240522,11.24723758,0,25.03530198,0,6.869976547,2.546138293,100
2M19004386+4349519,,,,,,,,,,,,
2M19010446+4833360,10000,1040,0.685528,52.80112973,0.663195727,11.90093889,0,25.98904386,0,6.000765966,2.644925831,100
2M19004559+4601406,10000,1036,1.76268,57.3150451,1.374699729,12.91729378,0,20.0716181,0,6.220402596,2.100940694,100
2M19370743+4217274,10000,1022,0.250926,54.61225972,0,5.019155113,0,22.09586471,0,1.567459827,16.70526063,100
2M19285614+4134307,10000,984,1.255806,59.0909876,1.203664686,13.53290267,0,19.15564628,0,4.704833168,2.311965599,100
2M19274845+4304289,10000,982,0.498237,51.59068206,0.001513532,10.12735491,0,13.43580584,0.261738766,0.504527048,24.07837784,100
2M19254047+3907387,10000,928,1.195564,54.24798912,1.00235742,13.27973797,0,22.83388786,0,6.418459869,2.217567761,100
2M19344207+4117432,,,,,,,,,,,,
2M18561467+4530246,10000,1080,0.277095,54.46274085,0.522415079,10.2904737,0,23.86982634,0,8.447849278,2.406694756,100
2M19295476+4208322,10000,1044,0.281848,50.24045324,0.002490984,8.837942164,0,22.48591245,0.140161796,1.216836607,17.07620276,100
