Star,Pressure,Temperature,Mass,SiO2,TiO2,Al2O3,Cr2O3,FeO,MgO,CaO,Na2O,SUM
2M19481670+4031304,10000,1328,16.6507,48.21747417,0.735285905,12.82499802,0,18.51120817,6.694554136,11.43013011,1.586349481,100
2M19040872+4936522,10000,1328,18.444518,55.03403842,0.37889637,13.31383265,0,14.92380692,6.391179939,7.038439567,2.91980613,100
2M18590868+4825236,,,,,,,,,,,,
2M19441136+4244348,10000,1328,21.645746,51.93260182,0.261843699,15.45834503,0,13.88722666,6.756078676,10.03918802,1.6647161,100
2M19220642+3808347,10000,1328,19.859359,50.91387496,0.777163216,14.74481045,0,15.19130858,6.876578258,9.887118292,1.609146242,100
2M19342609+4211516,,,,,,,,,,,,
2M19283191+4132511,,,,,,,,,,,,
2M19313914+4103393,,,,,,,,,,,,
2M19312961+4257580,10000,1328,23.192624,52.39495656,0.443918356,16.34269109,0,13.15680644,7.111123897,8.602489235,1.948014416,100
2M19491018+4958538,10000,1328,23.08468,47.98401,0.796129997,15.29041355,0,15.6687127,7.200665669,11.85804803,1.202020048,100
2M19342205+4105425,10000,1328,33.83969,43.81355569,0.779643839,17.39592202,0,13.60181583,8.169490006,14.53342244,1.706150173,100
2M19342073+4255440,10000,1328,26.293612,54.10245843,0.423150452,16.71443714,0,11.11759112,6.835640142,8.788334456,2.018388269,100
2M19253263+4159249,10000,1328,20.822968,50.21315446,0.5129046,15.16623575,0,15.1331784,7.139823352,10.12334298,1.711360468,100
2M19052120+4844387,10000,1328,19.651804,51.08805888,0.576912279,14.52154633,0,15.40944902,6.952200448,9.51205146,1.939781582,100
2M18561431+4431052,,,,,,,,,,,,
2M19284485+4143373,10000,1328,24.85159,50.46509282,0.528036456,17.19258533,0,13.3070049,7.580254559,9.413107547,1.513918379,100
2M19353364+4231408,,,,,,,,,,,,
2M19284107+4054587,10000,1328,37.124833,54.71488678,0.195193324,19.86368662,0,8.332717286,8.225294819,7.044600886,1.623620285,100
2M19284793+4202459,10000,1328,26.525363,50.01774313,0.713654996,17.51591519,0,13.03238303,7.759196493,9.519535911,1.441571257,100
2M19405434+5033323,10000,1328,25.207302,42.89437637,1.923735509,13.48803958,0,16.29181564,7.805469877,14.74739953,2.849163499,100
2M19505021+4804508,10000,1328,23.967139,50.26610247,0.970132449,14.8679442,0,13.97759491,7.11168709,10.78842621,2.018112657,100
2M19174175+4643342,10000,1328,19.490283,47.04305408,1.025916831,13.94701424,0,17.63793335,7.294854654,11.6246989,1.426527944,100
2M19343286+4249298,10000,1328,22.345933,48.90020918,0.891292458,14.65849731,0,15.47678486,6.897506317,11.68057764,1.495132227,100
2M19364610+3937084,10000,1328,24.281127,51.24109149,0.438186298,15.7337856,0,13.43860588,6.953334857,10.50671892,1.688276962,100
2M19240775+4902249,10000,1470,51.829821,58.33858838,0.177369333,7.702076578,0,10.52236901,16.38380113,5.993035466,0.882760093,100
2M19063321+3929164,10000,1328,21.811568,51.39369045,0.795100685,14.15254694,0,14.4552785,6.92275033,9.927337921,2.353295177,100
2M19144528+4109042,10000,1328,21.784735,52.06829681,0.768272509,15.21183533,0,13.65120745,6.690593708,10.07749584,1.53229835,100
2M19262685+4206574,10000,1328,19.573789,48.69964966,0.979659491,13.23309189,0,16.94087177,6.982433863,11.13555195,2.028741378,100
2M19004979+4523036,10000,1328,19.6818,50.10044023,0.817423207,14.03871154,0,15.63790563,6.777937932,10.84083541,1.78674605,100
2M19340476+4116386,10000,1328,30.294087,53.30629002,0.34480728,19.06374029,0,10.30662368,7.500378496,8.021334596,1.45682563,100
2M19492496+4118001,10000,1328,21.296265,49.2493504,0.986979806,14.26285584,0,15.46606328,7.071581619,11.09434929,1.868819777,100
2M19325217+4243145,10000,1328,32.981634,53.60866188,0.447479974,19.47074698,0,9.791946268,8.224420662,7.123063957,1.333680283,100
2M19322220+4121198,10000,1328,24.514554,53.05229564,0.265085163,15.95385581,0,12.16305932,6.590013304,10.37772267,1.597968085,100
2M19562938+4152003,10000,1328,20.121041,50.73775329,0.470171479,13.6304622,0,15.36638165,6.580681489,10.91957834,2.294971548,100
2M19202447+4815040,10000,1328,24.330575,38.08068231,2.214839277,14.74944583,0,18.6684516,8.13524566,15.77281911,2.378516217,100
2M19394766+4626191,10000,1328,21.123787,48.32772613,0.823187179,14.92251105,0,15.88971262,7.410582157,11.05140419,1.574876673,100
Sun,10000,1328,20.333966,49.42157464,0.833701191,14.2870163,0,15.66443711,6.838543767,11.30863276,1.646094229,100
2M19353074+4139423,,,,,,,,,,,,
2M19542140+4045024,10000,1328,21.513108,49.50768341,0.606198056,16.96809101,0,14.88104328,6.976234724,11.0562046,0.004544929,100
2M19331737+4252028,10000,1328,22.89618,53.33617348,0.782061689,12.15871984,0,13.47777826,6.814307988,9.346086295,4.08487245,100
2M19394922+4408593,10000,1328,18.792359,40.34437429,0.977188896,15.53936937,0,19.9365155,8.143456296,13.7513432,1.307752445,100
2M19415676+5100486,10000,1328,27.310684,51.20913241,0.748370467,15.06214558,0,12.59453135,7.033158268,10.81897723,2.533684694,100
2M19004386+4349519,,,,,,,,,,,,
2M19010446+4833360,10000,1328,16.841533,48.92506356,1.227783021,12.20924187,0,17.97289639,6.589049201,11.2201587,1.855807255,100
2M19004559+4601406,10000,1328,20.791529,52.03103691,0.432733078,14.40631753,0,14.26750063,6.585492052,10.22251986,2.054399945,100
2M19370743+4217274,10000,1328,17.753498,51.79256614,0.965993179,10.87101645,0,16.56365449,6.472664199,10.02286935,3.3112362,100
2M19285614+4134307,10000,1328,25.228998,53.33132523,0.40055144,15.83832423,0,12.18857044,7.009876426,8.609430402,2.621921837,100
2M19274845+4304289,10000,1328,18.463101,51.9020731,0.494775588,11.21463779,0,16.1873156,6.744432193,9.66405772,3.792708004,100
2M19254047+3907387,10000,1328,20.744111,47.37082999,1.010348965,14.53261484,0,16.7302728,7.225206907,11.81925906,1.311467434,100
2M19344207+4117432,,,,,,,,,,,,
2M18561467+4530246,10000,1328,18.466345,48.53684501,0.85076619,13.2735143,0,17.39787187,6.836160454,11.33983672,1.765005461,100
2M19295476+4208322,10000,1328,21.992642,52.3129386,0.426256305,13.3554874,0,14.06435071,6.790434242,9.849718689,3.200814053,100
2M19255247+4020378,10000,1328,21.762816,45.8409836,0.813132592,15.56147562,0,16.94253261,7.989591919,11.86318079,0.989102863,100
2M19155629+4003522,10000,1328,19.42602,50.27039536,0.75164602,15.08496737,0,16.21025178,7.621484374,7.75754515,2.303709939,100
2M19263232+4150019,,,,,,,,,,,,
2M19294569+4312339,10000,1328,24.460105,48.00356069,0.913622103,15.77013411,0,14.79464384,7.383917454,11.89088488,1.243236928,100
2M19140739+4056322,10000,1328,19.287099,50.82222852,0.499580083,13.26351774,0,15.77158721,6.631954626,10.61907451,2.39205731,100
2M19571668+4123047,10000,1328,21.391624,47.60121073,0.70864644,14.75302047,0,16.51426341,7.270911038,11.72553174,1.426416164,100
2M19233947+4217116,10000,1328,16.608029,52.37162564,0.927217881,12.29122393,0,16.85211448,5.944397621,10.11254181,1.50087864,100
2M19510878+4753100,10000,1328,20.026583,51.31510423,0.825650563,13.37181899,0,15.24387499,6.742220631,10.09224564,2.40908495,100
2M19162065+4133465,10000,1328,21.538564,49.62242326,0.479993985,15.7357314,0,15.24986769,7.233595569,10.36781095,1.310577139,100
2M19253372+4210501,10000,1328,23.189515,51.89884813,0.418322379,17.40405802,0,13.14700015,7.28884039,8.504873095,1.33805784,100
2M19310830+4312575,10000,1328,18.286253,52.20444209,0.475294329,12.42533351,0,15.53859738,6.25395138,10.38724077,2.715140538,100
2M19384178+4204321,10000,1328,17.298977,53.02933808,0.646353689,12.97797552,0,15.61819469,6.22678916,9.444125561,2.057223298,100
2M19290877+4204208,,,,,,,,,,,,
2M19254039+3840204,10000,1328,19.355024,48.95260343,0.560874923,14.43078304,0,16.28756444,7.065629928,11.04613381,1.65641043,100
2M19342430+4222471,10000,1328,29.704085,49.32810167,1.185447772,16.58804305,0,12.86737056,7.808571657,10.52019394,1.70227135,100
2M19421779+4248231,10000,1328,20.814756,46.58802223,0.960394705,14.99185939,0,17.36564848,7.624906776,11.44848831,1.020680104,100
2M19294013+4125007,10000,1328,22.903877,50.01623539,0.659911425,15.01421358,0,14.18571635,6.938103548,11.307375,1.878444712,100
2M19351783+4246469,,,,,,,,,,,,
2M19344300+4651099,10000,1328,19.033069,48.77853478,0.502084335,14.4469116,0,16.78956407,7.227561203,10.59578288,1.659561136,100
2M18523616+4508233,10000,1328,18.250138,51.98239751,1.118447217,12.7209885,0,15.22590743,6.213576063,10.66781338,2.07086991,100
2M18575579+4423529,10000,1328,19.998512,52.15241321,0.358303656,15.78989396,0,14.61668287,6.975371906,8.381555802,1.725778588,100
2M19322256+4253471,10000,1328,18.276303,50.96572307,0.833648878,12.9368199,0,16.10871463,6.591217079,10.34231785,2.221558592,100
2M18473976+4246318,10000,1328,19.890435,52.36694433,0.395348603,11.15898454,0,15.69980715,6.868467985,9.333839865,4.176607528,100
2M19282524+4222491,10000,1328,34.022034,48.67991915,0.675855354,18.17583487,0,12.13039054,8.731130832,10.00233619,1.604533062,100
2M19300081+4304593,10000,1328,20.876991,47.43902514,0.992764492,14.02957333,0,17.01983993,7.388450144,11.42579288,1.704554087,100
2M19283906+4101236,10000,1328,21.642597,51.51915546,0.354454811,14.52172195,0,13.98020581,6.625174431,10.80795106,2.191336485,100
2M19092707+3838585,10000,1328,20.15309,47.19522953,0.62860312,15.25520292,0,16.82613456,7.734710802,11.05819034,1.301928728,100
2M19275056+4225588,10000,1328,22.72897,51.34364448,0.440451399,15.24862786,0,14.15296726,7.191010202,9.379917598,2.243381194,100
