Star,Pressure,Temperature,Mass,SiO2,TiO2,Al2O3,Cr2O3,FeO,MgO,CaO,Na2O,SUM
Sun,10000,1048,1.216538,54.91741696,1.066774343,12.83504985,0,22.61736416,0,6.267097671,2.29629701,100
BD+062932,10000,1020,0.852051,61.528775,2.964524739,10.94488384,0,12.75343144,0,10.37154607,1.436838919,100
BD+063077,,,,,,,,,,,,
BD+083095,,,,,,,,,,,,
BD-002387,10000,978,0.000148,69.21539101,1.973242593,21.58243777,0,4.359799742,0,1.144238424,1.724890458,100
BD-010184,10000,992,0.00572,62.74613043,1.663740133,13.51246091,0,3.561994314,0,18.10482469,0.410849526,100
BD-012505,10000,980,0.004942,62.71533166,1.413358064,12.0438633,0,3.188899525,0,20.0154441,0.623103345,100
BD-033746,10000,1028,3.909424,39.61905813,0.065928453,14.75152629,0,11.35712674,5.44E-06,24.02086322,10.18549173,100
BD-034797,10000,1018,0.053306,62.40530566,3.161006585,13.49502461,0,8.458767044,0,11.57761613,0.902279968,100
BD-044138,10000,1026,0.332588,62.55750824,2.616727922,11.53297082,0,13.14118148,0,8.524548219,1.627063317,100
BD-050484,,,,,,,,,,,,
BD-050578,10000,1018,0.226276,61.24173523,3.076936046,10.77579463,0,12.61105714,0,10.90676472,1.387712235,100
BD-053176,10000,1004,0.012336,62.64552285,2.053388532,12.99264511,0,5.826554002,0,15.80631219,0.675577316,100
BD-053596,10000,998,1.155845,57.72061158,1.40422115,12.9542829,0,19.60511154,0,6.246284646,2.069488185,100
BD-054065,10000,1050,0.876154,55.60333514,1.108925475,12.87943397,0,21.8208742,0,6.432755399,2.154675814,100
BD-060904,10000,1006,1.060187,58.8752273,1.542341271,13.02662101,0,18.38936262,0,6.140451756,2.025996051,100
BD-063481,10000,1020,0.250476,61.528775,2.964524739,10.94488384,0,12.75343144,0,10.37154607,1.436838919,100
BD-064196,10000,1016,0.214494,60.99747172,3.227417866,10.72545077,0,12.24295114,0,11.48883661,1.317871891,100
BD-064756,10000,950,1.028284,58.94806077,1.474602933,13.0649926,0,18.32953886,0,6.155364766,2.027440065,100
BD-082534,,,,,,,,,,,,
BD-082823,10000,994,0.009806,62.67522843,1.716799197,12.53652663,0,4.649544942,0,17.77728208,0.644618723,100
BD-090872,10000,1012,1.065645,58.88500686,1.548606587,13.04142468,0,18.36119227,0,6.140646246,2.023123361,100
BD-091261,10000,1052,2.118415,37.89406162,0.102156469,15.70376761,0,16.96625298,0,15.65540263,13.67835868,100
