star,initial_mass
2M19443187+4858386,0
2M19254039+3840204,100.087474
2M19342205+4105425,100.097045
2M19284485+4143373,100.081824
2M19352029+4237298,100.094610
2M19144528+4109042,100.077265
2M19364610+3937084,100.084697
2M19294013+4125007,100.087093
2M19052120+4844387,100.082477
2M18561467+4530246,100.090755
2M19340476+4116386,100.069987
2M19325217+4243145,100.077615
2M19370743+4217274,100.087944
2M19441136+4244348,100.079403
2M19274845+4304289,100.089059
2M19322220+4121198,100.074901
2M19071403+4918590,100.088460
2M19162065+4133465,100.085240
2M18473976+4246318,100.090328
2M19384178+4204321,100.077271
2M19383520+4153027,100.070583
2M19004559+4601406,100.081012
2M19322256+4253471,100.084161
2M19134816+4014431,100.092401
2M19165219+4753040,100.088214
2M19330298+4121544,100.079768
2M19331737+4252028,100.086362
2M19202447+4815040,104.343063
2M19284107+4054587,100.072638
2M19095484+3813438,100.077761
2M19233947+4217116,100.077344
2M19140739+4056322,100.086650
2M19214099+3751064,100.091293
2M19174175+4643342,100.092890
2M19344300+4651099,100.087880
2M19571668+4123047,100.093210
2M19405434+5033323,100.097348
2M19283906+4101236,100.083526
2M18455585+4712289,100.090488
2M19040872+4936522,100.075898
2M18585736+4935542,100.085987
2M19310830+4312575,100.083711
2M19104752+4220194,100.094642
2M19275056+4225588,100.083873
2M19262685+4206574,100.092046
2M19394766+4626191,100.088787
2M19510878+4753100,100.084590
2M19315309+4102087,100.086098
2M19180152+4522155,100.088866
2M19155629+4003522,100.084871
2M19322962+4056051,100.083909
2M19255247+4020378,100.091663
2M19010446+4833360,100.088545
2M19331205+4131240,100.075950
2M19492496+4118001,100.088606
2M19263381+4114277,100.089665
2M19294569+4312339,100.090993
2M19285614+4134307,100.078495
2M19102533+4931237,100.091660
2M19351595+4212449,100.072674
2M19300081+4304593,100.094067
2M19310175+4325368,100.089026
2M19480452+5024323,100.084022
2M18444674+4729496,100.086382
2M19282524+4222491,100.087981
2M19343286+4249298,100.092210
2M19342073+4255440,100.071452
2M19415676+5100486,100.087978
2M19092707+3838585,100.090193
2M19283288+4225459,100.094622
2M19432625+4756222,100.091184
2M19481670+4031304,100.089885
2M19220642+3808347,100.081133
2M18495813+4358487,100.084574
2M19505021+4804508,100.086615
2M19290865+4054489,100.094023
2M18575579+4423529,100.077862
2M19004979+4523036,100.085188
2M19312961+4257580,100.078178
2M19045932+5014326,100.090718
2M19295476+4208322,100.085865
2M19253263+4159249,100.084272
2M19063321+3929164,100.084267
2M18523616+4508233,100.079491
Sun,100.087308
2M19253372+4210501,100.076542
2M19011470+4750549,100.078413
2M19244068+4238269,100.074658
2M18472048+4409213,100.083865
2M19342430+4222471,100.087909
2M19324327+4137039,100.088760
2M19293325+4213597,100.089624
2M19562938+4152003,100.088144
2M19240775+4902249,100.084394
