star,initial_mass
HD7449,100.117462
HD222669,100.123042
HD86065,100.108405
HD217786,100.119467
HD141128,100.116417
HD189242,100.118313
HD147147,100.275232
HD31103,100.117386
HD130992,100.129323
HD21693,100.119160
HD209742,100.120238
HD116284,100.117489
HD16297,100.122644
HD110668,100.113458
HD222422,100.126893
HD171942,100.121303
HD220456,100.121346
HD213852,100.121657
HD161566,100.102787
HD124106,100.115099
HD92788,100.115026
HD189625,100.119716
HD179949,100.105378
HD150177,100.110182
HD1388,100.120387
HD157830,100.121371
HD9782,100.119070
HD8930,100.122069
HIP45301,100.120119
HD200505,100.124158
HD55,100.127837
HD120362,104.345883
HD96276,100.120969
HD104982,100.122810
HD112283,100.118359
HD223315,100.113164
HD162020,100.119900
HD118466,100.113556
HD110291,100.123993
HD103197,100.118045
HD181249,100.118705
HD33822,100.122584
BD-053176,100.122646
HD16714,100.121171
HD122474,100.121042
HIP54446,100.111748
HD115341,100.120490
HIP69224,100.124097
HD92588,100.123920
HD30053,100.125867
HD12345,100.120051
HD200083,100.121500
HD103720,100.112355
HD85512,110.323376
HD36108,100.120757
HD35854,100.122087
HD118563,100.122201
HD76440,100.115751
HD218885,100.120665
HD152433,100.119511
HD102117,100.116821
HD115617,100.123087
HIP109421,100.135457
HD223121,100.120345
HD25171,100.121625
HD49035,100.119410
HD23249,100.121443
HD101581,100.129156
BD-063481,100.116134
HD196384,100.131577
HD11964A,100.123274
HD173885,100.118465
HD191797,100.116964
HIP67126,100.124564
HD176535,100.116063
HD21411,100.121458
HD89749,100.120431
HD90936,100.113675
HD206172,100.120068
HD95456,100.116518
HD18838,100.118199
HD192865,100.115558
HD116883,100.122500
HD177033,100.132508
HD28807,100.117403
BD-053596,100.132185
HD27063,100.122137
HD34449,100.121679
HD78538,100.123982
HD59711A,100.122255
BD-131161,100.117924
HD26887,100.120343
HD224432,100.123923
HIP104856,100.127796
HD22282,100.119941
HD125881,100.116219
HD152533,100.113717
HIP61406,100.123291
HD144411,100.129701
HD213240,100.118751
HD25565,100.122939
HD114386,100.126154
HD195564,100.122459
HD134929B,100.118914
HD41248,100.121748
HD212708,100.116437
HD119291,100.122648
HD122862,100.117646
HD80883,100.121121
HD2768,100.121909
HD87521,100.107874
HD172513,100.122001
HD44804,100.114208
HD188748,100.120728
HD3220,100.122232
HD102136,100.116413
HD146233,100.121815
HD115499,100.123493
HD217221,100.120434
HD74014,100.115358
HD82114,100.106689
HD156991,100.120688
HD67458,100.119650
HD163436,100.120606
HD190248,100.108325
HD115585,100.118446
HD89839,100.115202
HD171665,100.120704
HD66221,100.118451
HD116920,100.123379
HD6673,100.121614
HD14744,100.117099
HD90926,100.118348
HIP116374,100.111399
HD200143,100.121617
HD24331,100.122286
HD103949,100.119020
HD207699,100.123408
HD157668,100.121832
BD-034797,100.121094
HD1237,100.117663
HD81700,109.018217
HD209566,100.119287
HD101644,100.121328
HD211583,100.123828
HD204313,100.119229
HD200538,100.117825
HD154962,100.118402
HD25061,100.112309
HD16382,100.115132
HD125072,100.117658
HD37986,100.120680
HD142,100.101766
HD1461,100.118808
HD38265,100.121907
HD202206,100.114637
HD11226,100.118064
HD9246,100.126422
HD20781,100.121792
HD100508,100.109903
HD14374,100.119076
HD165920,100.114991
HD32804,100.126392
HD62847,100.121058
HD89920,100.120532
HD183783,100.122128
HD137010,100.125740
HD10895,100.125274
HD30177,100.120801
HD154195A,100.120104
BD-130321,100.114617
HD88742,100.119220
HD76151,100.121083
HIP21539,100.123736
HD187760,100.135677
HD132411,100.128930
HIP20444,100.116031
BD-064756,100.125868
HD91345,100.134246
HD144342,100.122081
HD169830,100.114865
HD34327,100.116437
HD218511,100.111970
HD30858,100.121356
HD11938,100.106480
HD37962,100.120901
HD224789,100.115551
HD22177,100.119497
HD113569,100.127083
HD189004,100.117691
HD34688,100.117616
HD24062,100.109071
HD163102,100.131542
HD96700,100.121965
HD179346,100.120122
HD28969,100.131409
HD142879,100.117900
HD197823,100.116206
HD66039,100.119932
HD214383,100.127840
HD180409,100.121140
HD210918,100.122419
HD38385,100.108674
HD217958,100.105344
HIP46933,100.128275
HD220339,100.118208
HD131183,100.121360
HD1581,100.120105
HD84305,100.117730
HD38355,100.116023
HD113513,100.106943
HD2071,100.120060
HD75289,100.114160
HD160089,100.109699
HD199190,100.119754
HD40105,100.120520
HD95922,100.132814
HIP78242,100.120442
HD108935,100.128657
HD95542,100.121025
HD86140,100.120929
HD223854,100.105744
HIP15587,100.125714
HD20003,100.120769
HIP36347,100.113114
HD131218,100.118611
BD-060904,100.122736
HD97037,100.121598
HD54521,100.123198
HD191902,100.123281
HD37548,100.117790
HD38078,100.122822
HD160691,100.118636
HD206630,100.123116
HD14745,100.115134
HD101612,100.118624
HD31527,100.120276
HD211534,100.121851
HIP33392,100.124858
HD206163,100.120591
HD94771,100.119715
HD86171,100.123017
HD40483,100.119265
HD297396,100.117533
BD-090872,100.125519
HD197210,100.123314
HD111031,100.116660
HD202819,100.132585
HIP59925,100.126061
HD43197,100.115728
HD19230,100.123670
HD81767,100.116401
HD201422,100.124254
HD148156,100.110345
HD22610,100.117709
HD107148,100.120861
HIP7058,100.122768
BD-213153,100.130087
HD214954,100.114765
HD177122,100.122008
HD10647,100.116407
HD220894,100.105452
HD159868,100.120341
HD9608,100.123110
HD139590,100.112727
BD-012505,100.119856
HD156411,100.120035
HD208,100.121725
HD210507,100.114775
HD219495,100.104619
HIP116939,100.123130
HIP25612,100.130872
HD17051,100.115051
HD144497,100.127975
HD95521,100.118703
HD870,100.125928
HD8326,100.116989
HD78429,100.118601
HD195302,100.118259
HD2638,100.112904
HD66168,100.108620
HD131565,100.125655
HD25357,100.115464
HD31822,100.120616
HIP103867,112.262518
HD156517,100.105158
HD134606,100.115691
HD90722,100.115500
HD36051,100.121749
HD21161,100.111530
HD23472,100.122657
HD110557,100.122077
HD100289,100.119475
HD119638,100.117972
HD108063,100.112303
HD52919,100.117303
HD203384,100.115666
HD215152,100.122402
HD217395,100.121132
HD16905,100.115425
HIP12147,100.125832
HD22897,100.133666
HD116410,100.116304
HD24085,100.118819
HD93380,100.137557
HD111564,100.121613
HD30523,100.119243
HD326267,108.137690
HD120344,100.122281
HD218340,100.122737
HD190204,100.123176
HD116858,100.118027
HD128431,100.121816
HD126829,100.118531
HIP57688,100.110101
HIP96240,100.114204
HD82943,100.115914
HD36003,100.120274
HD3808,100.121747
HD66040,100.113950
HD88474,100.108893
HD65982,100.118494
HD11608,100.105493
HD36179,100.124881
CD-571633,100.086597
HD45184,100.122776
HD2014,100.117285
HD14868,100.121937
HD66340,100.120728
HD16548,100.122685
HD114561,100.120067
HD55693,100.111294
HD129829,100.124474
HD323631,100.123651
HD112540,100.118632
HD186302,100.117586
HD215902,100.119609
HD215456,100.121161
HD1979,100.123299
HD207129,100.121883
HD161612,100.119730
HD2025,100.122578
HD216215,100.121615
HD114853,100.123135
HD205294,100.112118
HD204941,100.117755
HD208487,100.119815
HD213042,100.121276
HD172643,100.116938
BD-112763,100.125331
HD207832,100.117352
HD36379,100.118161
HD25105,100.124748
HD125595,100.125730
HIP113596,100.119417
HD125612,100.118026
HD202605,100.119635
HIP7743,100.116825
