Star,Pressure,Temperature,Mass,SiO2,TiO2,Al2O3,Cr2O3,FeO,MgO,CaO,Na2O,SUM
Sun,10000,1328,20.333966,49.42157464,0.833701191,14.2870163,0,15.66443711,6.838543767,11.30863276,1.646094229,100
BD+062932,10000,1328,15.994143,46.47884871,2.290464242,12.67359866,0,18.88494123,6.460951039,12.60847768,0.602718437,100
BD+063077,,,,,,,,,,,,
BD+083095,,,,,,,,,,,,
BD-002387,10000,1328,25.306185,56.23863679,1.572944712,13.48733818,0,10.02471899,5.717911052,10.85585379,2.102596496,100
BD-010184,10000,1328,29.435584,48.75984581,1.347935481,16.89647814,0,12.75549345,7.79883687,11.15958974,1.281820506,100
BD-012505,10000,1328,25.012405,49.66048983,1.768529152,14.76804216,0,13.57557958,6.975318046,11.55258186,1.69945938,100
BD-033746,10000,1328,34.900749,38.88656419,2.165025256,15.11424269,0,14.81432533,7.432966448,20.16028038,1.426595714,100
BD-034797,10000,1328,29.823975,50.38102985,1.420497186,16.08875283,0,12.51280255,7.537811167,10.11037504,1.948731384,100
BD-044138,10000,1328,30.348261,49.0481968,1.2510257,16.20654277,0,12.56153286,7.644471576,11.49260242,1.795627866,100
BD-050484,,,,,,,,,,,,
BD-050578,10000,1328,20.620721,49.61059104,1.548406126,13.85461944,0,15.35454554,6.885824868,11.02985186,1.716161119,100
BD-053176,10000,1328,30.064523,49.75670565,1.462252948,16.00797102,0,12.72681812,7.607383461,10.6153228,1.823545988,100
BD-053596,10000,1328,31.599195,45.10751542,1.434672435,17.03554544,0,13.88894891,8.155456748,13.2054292,1.172431843,100
BD-054065,10000,1328,17.861076,47.77274507,1.683062977,13.0994982,0,17.49869762,6.925785515,11.56156019,1.458650423,100
BD-060904,10000,1328,19.894398,47.71280712,1.744896919,13.87826562,0,16.4190236,7.136840229,11.64939827,1.458768244,100
BD-063481,10000,1328,20.081028,50.07225342,1.531854923,13.52676154,0,15.18061716,6.735740186,11.06500016,1.887772606,100
BD-064196,10000,1328,17.834916,50.1843742,1.807508455,12.71696144,0,15.96310186,6.207729432,11.62015575,1.500168858,100
BD-064756,10000,1328,20.13593,48.32244317,2.103897155,13.02742476,0,16.43715628,6.825416507,11.62947369,1.654188437,100
BD-082534,,,,,,,,,,,,
BD-082823,10000,1328,21.395688,51.34932413,1.497299257,13.76885015,0,13.81717393,6.34394586,11.37765928,1.84574739,100
BD-090872,10000,1328,18.173509,48.44506737,2.267663091,12.0450791,0,17.33934656,6.629137648,11.54422134,1.729484889,100
BD-091261,10000,1328,29.271633,39.10991151,1.834482601,15.37196062,0,16.0388555,7.623030185,18.61612046,1.405639125,100
BD-092670,10000,1328,20.252821,48.45654252,2.000119658,13.2736347,0,16.21437219,6.835633918,11.61436543,1.605331587,100
BD-094191,10000,1328,21.973728,48.77691328,1.675109313,14.19877715,0,15.15873301,6.869592882,11.77217566,1.548698711,100
BD-112763,10000,1328,19.222104,46.90105673,1.664175319,13.84941284,0,17.40214014,7.158173164,11.86890341,1.156138382,100
BD-120327,,,,,,,,,,,,
BD-123458,,,,,,,,,,,,
BD-130116,10000,1328,35.933061,47.78934686,1.31009741,17.36456082,0,11.67111767,7.993185078,12.30281846,1.568873699,100
BD-130321,10000,1328,28.050048,50.77374226,1.50197266,15.55147108,0,12.27136815,7.174036274,10.88541592,1.841993652,100
BD-131161,10000,1328,26.256765,48.22505776,1.2008538,17.9995671,0,13.62721013,8.317428947,9.44076122,1.18912105,100
BD-140184,,,,,,,,,,,,
BD-145003,,,,,,,,,,,,
BD-160308,,,,,,,,,,,,
BD-160931,10000,1328,17.266559,52.97240638,2.097578249,11.95800779,0,14.24229598,5.669289317,11.45091798,1.609504304,100
BD-170063,,,,,,,,,,,,
BD-173242,10000,1328,25.138317,46.70196825,1.732938944,14.83208467,0,15.60229354,7.717195896,11.85742305,1.55609566,100
BD-195953,10000,1328,24.52543,51.32935525,1.447110783,15.02699406,0,12.79545422,6.778979635,10.96831855,1.653787499,100
BD-213153,10000,1328,20.460046,46.57515043,1.684745794,14.0966763,0,17.33012404,7.142749286,12.15869418,1.011859964,100
BD-223528,10000,1328,22.72654,49.19111543,1.507606322,14.55252455,0,14.60106102,6.993232613,11.52096952,1.633490551,100
CD-2310879,10000,1328,25.193556,49.66287372,1.497191717,15.76913665,0,13.31303394,7.106623962,11.45229454,1.198845455,100
CD-436810,,,,,,,,,,,,
CD-4512460,10000,1328,17.055229,48.02749369,2.713658986,12.83889029,0,16.74136991,6.44558196,12.24296705,0.990038121,100
CD-452997,,,,,,,,,,,,
CD-571633,10000,1328,25.984068,50.07919475,1.081499989,18.72264193,0,10.32121902,7.704377904,11.65164889,0.439417522,100
HD10002,10000,1328,20.874707,49.30631204,1.657370692,14.38760351,0,15.53302565,7.329600757,10.07780027,1.708287082,100
HD100289,10000,1328,20.78616,49.30301824,1.599181269,13.83437786,0,15.51490459,7.089843852,10.81307456,1.845599623,100
HD100508,10000,1328,20.757889,52.00471957,1.921197235,13.37211965,0,14.48678809,6.914935788,8.867961799,2.432277866,100
HD100777,,,,,,,,,,,,
HD101339,10000,1328,20.305912,49.04370212,1.713346456,13.71067783,0,15.64470485,6.848150646,11.42878537,1.610632727,100
HD101367,10000,1328,22.374473,50.8634936,1.706761388,14.07539881,0,14.39473811,7.189965221,9.498092313,2.271550566,100
HD101581,10000,1328,24.064385,47.17915703,1.731998303,14.85331163,0,15.35689439,7.556037575,11.81825058,1.504350476,100
HD101612,10000,1328,19.322664,49.54570562,1.923058144,12.88432979,0,15.8799684,6.582377457,11.40387319,1.780687394,100
HD101644,10000,1328,19.687259,48.56765749,1.807856956,13.35269855,0,16.15779807,6.969239514,11.37789388,1.766855536,100
HD101650,,,,,,,,,,,,
HD10166,,,,,,,,,,,,
HD10180,10000,1328,21.968816,49.36684451,1.559649039,14.36222303,0,14.88542045,7.16182409,10.88854392,1.775494952,100
HD101930,10000,1328,20.744736,47.80929132,1.802620285,13.77152061,0,16.42633366,7.522128355,10.87598456,1.792121204,100
HD102117,10000,1328,21.231703,49.58151285,1.629021219,14.34188462,0,15.14793258,7.188267197,10.38526654,1.726114993,100
HD102136,10000,1328,17.752634,49.60148845,1.809867279,12.46471839,0,16.57437817,6.490831806,11.30036712,1.75834878,100
HD102300,,,,,,,,,,,,
HD102365,,,,,,,,,,,,
HD102438,,,,,,,,,,,,
HD102843,10000,1328,20.579449,48.38756146,1.669788646,14.60859354,0,15.96186643,7.348115986,10.67217362,1.351900317,100
HD103197,10000,1328,18.977831,49.41878318,1.891472507,12.97549349,0,16.45560111,7.052658316,10.25619365,1.949797745,100
HD103720,10000,1328,18.63187,50.54117617,1.772019629,12.889139,0,15.50532171,6.321972027,11.33348717,1.63688429,100
HD103891,,,,,,,,,,,,
HD103949,10000,1328,21.624641,49.23383121,1.71665209,14.17325427,0,15.19203324,7.132255715,10.85705485,1.694918629,100
HD104006,,,,,,,,,,,,
HD104067,10000,1328,19.315795,48.62702266,1.625947593,13.33030122,0,16.37273023,6.887724634,11.420747,1.735526659,100
HD104263,,,,,,,,,,,,
HD104760A,10000,1328,23.462864,49.19677725,1.487437121,14.76624505,0,14.5368708,7.194610399,11.16030535,1.657754031,100
HD104800,,,,,,,,,,,,
HD104982,10000,1328,21.749802,47.83840175,1.552477456,14.62538848,0,15.61736325,7.363531825,11.53889213,1.463945115,100
HD105004,,,,,,,,,,,,
HD105671,10000,1328,24.278553,49.02240616,1.383260995,15.39633517,0,14.02327901,7.038896522,11.86160288,1.274219261,100
HD105779,10000,1328,21.003492,48.93512287,1.646301786,14.1295417,0,15.28797688,6.959483119,11.47092351,1.570650133,100
HD105837,,,,,,,,,,,,
HD105938,10000,1328,23.100126,49.37410755,1.673231161,15.19771223,0,14.1604565,7.052350579,11.32866673,1.213475253,100
HD106116,10000,1328,21.440473,49.17164814,1.648206088,14.15580244,0,15.33993723,7.18793474,10.74909774,1.747373612,100
HD106275,10000,1328,20.083633,49.77158614,1.952565543,13.53236195,0,15.44604832,6.858151685,10.76609064,1.673195724,100
HD106290,10000,1328,23.831453,51.4985144,1.511706505,14.74976652,0,13.0260066,6.755858409,10.72681979,1.731327775,100
HD10647,10000,1328,20.859403,49.58248246,1.882551829,13.85910542,0,14.93322117,6.59455072,11.7201202,1.427968191,100
